  0.000  1.260  0.000  0.000  1.500  3.379  3.429 100000.   2034.     33.  0.7739 17.4078 85.1230  3.000 0.00000 0.00000
  0.000  1.260  0.000  0.000  1.500  4.704  2.696 100000.   2357.     76.  0.7698 11.4708 86.4959  3.000 0.00000 0.00000
  0.000  1.260  0.000  0.000  1.500  2.683  3.588 100000.   6023.    724.  0.7757  3.7165 92.9302  3.000-0.66796 0.04735
  0.000  1.288  0.000  0.000  1.500  4.245  2.644 100000.   2889.    137.  0.7718  8.5436 87.7346  3.000 0.00000 0.00000
  0.000  1.288  0.000  0.000  1.500  4.235  2.158 100000.   3914.    301.  0.7718  5.7639 89.8223  3.000 0.00000 0.00000
  0.000  1.288  0.000  0.000  1.500  2.952  3.524 100000.   8908.   3160.  0.7751  1.7789 92.0145  3.000-0.67381 0.02288
  0.000  1.316  0.000  0.000  1.500  2.847  1.841 100000.   6512.   1212.  0.7753  2.8724 91.0508  3.000 0.00000 0.00000
  0.000  1.316  0.000  0.000  1.500  2.102  2.367 100000.   7265.   1886.  0.7766  2.3027 91.1946  3.000 0.00000 0.00000
  0.000  1.316  0.000  0.000  1.500  4.461  3.304 100000.  13833.   7552.  0.7711  1.1507 89.6616  3.000-0.36447 0.01209
  0.000  1.344  0.000  0.000  1.500  2.127  2.347 100000.  11709.   6586.  0.7766  1.2322 91.0581  3.000 0.00000 0.00000
  0.000  1.344  0.000  0.000  1.500  2.692  2.704 100000.  12571.   7607.  0.7756  1.1466 90.7925  3.000 0.00000 0.00000
  0.000  1.344  0.000  0.000  1.500  4.663  3.182 100000.  19241.  11687.  0.7705  0.9250 87.8266  3.000-0.09689 0.00583
  0.000  1.372  0.000  0.000  1.500  3.539  2.864 100000.  19060.  15179.  0.7737  0.8117 89.4980  3.000 0.00000 0.00000
  0.000  1.372  0.000  0.000  1.500  3.809  2.929 100000.  20418.  15338.  0.7730  0.8074 88.8484  3.000 0.00000 0.00000
  0.000  1.372  0.000  0.000  1.500  4.386  3.117 100000.  24172.  14597.  0.7713  0.8277 86.6492  3.000-0.00027 0.00373

  0.000  1.400  0.000  0.000  1.500  3.712  3.068 100000.  31182.  17294.  0.7733  0.7604 86.3051  3.000 0.00000 0.00000
  0.000  1.400  0.000  0.000  1.500  3.843  3.045 100000.  31026.  17170.  0.7729  0.7632 86.0839  3.000 0.00000 0.00000
  0.000  1.400  0.000  0.000  1.500  3.883  3.108 100000.  28662.  15115.  0.7728  0.8134 85.6865  3.000 0.01204 0.00346
  0.000  1.428  0.000  0.000  1.500  3.791  3.046 100000.  37617.  17637.  0.7731  0.7530 84.7273  3.000 0.00000 0.00000
  0.000  1.428  0.000  0.000  1.500  3.639  3.059 100000.  36770.  16798.  0.7735  0.7716 84.6299  3.000 0.00000 0.00000
  0.000  1.428  0.000  0.000  1.500  3.371  3.144 100000.  32219.  14399.  0.7741  0.8334 84.8008  3.000 0.02961 0.00342
  0.000  1.456  0.000  0.000  1.500  3.327  3.051 100000.  36432.  15461.  0.7742  0.8042 84.3351  3.000 0.00000 0.00000
  0.000  1.456  0.000  0.000  1.500  3.239  3.056 100000.  36234.  15104.  0.7744  0.8137 84.2096  3.000 0.00000 0.00000
  0.000  1.456  0.000  0.000  1.500  2.875  3.163 100000.  34366.  12962.  0.7752  0.8783 84.0558  3.000 0.01993 0.00370
  0.000  1.484  0.000  0.000  1.500  2.663  3.086 100000.  34627.  12455.  0.7757  0.8960 83.8153  3.000 0.00000 0.00000
  0.000  1.484  0.000  0.000  1.500  2.641  3.078 100000.  34575.  12347.  0.7757  0.9000 83.7516  3.000 0.00000 0.00000
  0.000  1.484  0.000  0.000  1.500  2.356  3.147 100000.  34137.  10819.  0.7762  0.9614 83.5144  3.000 0.01294 0.00419
  0.000  1.512  0.000  0.000  1.500  1.954  3.121 100000.  32749.   9187.  0.7768  1.0433 83.3030  3.000 0.00000 0.00000
  0.000  1.512  0.000  0.000  1.500  1.958  3.113 100000.  32742.   9225.  0.7768  1.0412 83.2673  3.000 0.00000 0.00000
  0.000  1.512  0.000  0.000  1.500  1.840  3.158 100000.  32678.   8330.  0.7770  1.0957 83.1252  3.000 0.00594 0.00497
  0.000  1.540  0.000  0.000  1.500  1.262  3.143 100000.  30892.   6005.  0.7777  1.2905 82.7974  3.000 0.00000 0.00000
  0.000  1.540  0.000  0.000  1.500  1.275  3.139 100000.  30877.   5923.  0.7776  1.2994 82.7576  3.000 0.00000 0.00000
  0.000  1.540  0.000  0.000  1.500  1.342  3.129 100000.  30871.   5268.  0.7776  1.3778 82.6561  3.000 0.01383 0.00625
