  2.565  0.000  0.000  0.000  1.500  8.587  2.576 100000.   9072.      4.  0.7516 50.0000 99.1901  3.000 0.00000 0.00000
  2.565  0.000  0.000  0.000  1.500 12.241  2.787 100000.   9657.     20.  0.7263 22.3607 99.1129  3.000 0.00000 0.00000
  2.565  0.000  0.000  0.000  1.500  8.617  3.898 100000.   9845.     25.  0.7502 20.0000 98.3745  3.000-0.62044 0.15428
  2.622  0.000  0.000  0.000  1.500  7.438  1.746 100000.  10776.      5.  0.7583 44.7214 97.9730  3.000 0.00000 0.00000
  2.622  0.000  0.000  0.000  1.500  0.000  0.000 100000.  10799.      1.  0.7646100.0000 97.8617  3.000 0.00000 0.00000
  2.622  0.000  0.000  0.000  1.500  1.918  3.783 100000.  11722.    302.  0.7768  5.7544 97.0480  3.000-0.81214 0.07493
  2.679  0.000  0.000  0.000  1.500  6.409  2.453 100000.  12374.      4.  0.7595 50.0000 96.5183  3.000 0.00000 0.00000
  2.679  0.000  0.000  0.000  1.500  1.176  3.821 100000.  12491.     36.  0.7776 16.6667 96.3537  3.000 0.00000 0.00000
  2.679  0.000  0.000  0.000  1.500  2.762  3.461 100000.  13809.   1799.  0.7754  2.3577 95.2628  3.000-0.97367 0.01297
  2.736  0.000  0.000  0.000  1.500  0.930  3.290 100000.  14121.   1182.  0.7779  2.9086 94.8718  3.000 0.00000 0.00000
  2.736  0.000  0.000  0.000  1.500  1.367  3.274 100000.  14241.   1650.  0.7775  2.4618 94.7069  3.000 0.00000 0.00000
  2.736  0.000  0.000  0.000  1.500  3.239  3.270 100000.  16312.   4691.  0.7744  1.4600 92.9193  3.000-0.25936 0.01321
  2.793  0.000  0.000  0.000  1.500  1.962  3.104 100000.  15934.   6143.  0.7768  1.2759 92.9885  3.000 0.00000 0.00000
  2.793  0.000  0.000  0.000  1.500  2.328  3.089 100000.  16223.   6604.  0.7762  1.2305 92.7177  3.000 0.00000 0.00000
  2.793  0.000  0.000  0.000  1.500  3.340  3.137 100000.  19292.   8363.  0.7742  1.0935 90.4611  3.000-0.04843 0.00612
  2.850  0.000  0.000  0.000  1.500  3.331  2.948 100000.  18681.  12227.  0.7742  0.9044 90.6559  3.000 0.00000 0.00000
  2.850  0.000  0.000  0.000  1.500  3.282  2.944 100000.  19297.  12126.  0.7743  0.9081 90.1357  3.000 0.00000 0.00000
  2.850  0.000  0.000  0.000  1.500  3.151  3.026 100000.  22186.  11263.  0.7746  0.9423 88.2434  3.000 0.00868 0.00423
  2.907  0.000  0.000  0.000  1.500  3.522  2.870 100000.  23716.  14733.  0.7738  0.8239 87.4370  3.000 0.00000 0.00000
  2.907  0.000  0.000  0.000  1.500  3.440  2.868 100000.  23734.  14416.  0.7739  0.8329 87.3241  3.000 0.00000 0.00000
  2.907  0.000  0.000  0.000  1.500  3.052  2.947 100000.  24896.  12304.  0.7749  0.9015 86.4071  3.000 0.01968 0.00381
  2.964  0.000  0.000  0.000  1.500  2.872  2.890 100000.  27839.  12506.  0.7753  0.8942 85.1019  3.000 0.00000 0.00000
  2.964  0.000  0.000  0.000  1.500  2.854  2.884 100000.  27809.  12307.  0.7753  0.9014 85.0130  3.000 0.00000 0.00000
  2.964  0.000  0.000  0.000  1.500  2.839  2.888 100000.  26858.  10712.  0.7753  0.9662 84.8826  3.000 0.01619 0.00418
  3.021  0.000  0.000  0.000  1.500  1.995  2.934 100000.  29529.   8777.  0.7768  1.0674 83.6015  3.000 0.00000 0.00000
  3.021  0.000  0.000  0.000  1.500  2.030  2.908 100000.  29302.   8630.  0.7767  1.0764 83.5895  3.000 0.00000 0.00000
  3.021  0.000  0.000  0.000  1.500  2.366  2.840 100000.  27637.   7281.  0.7762  1.1719 83.6096  3.000 0.01860 0.00510
  3.078  0.000  0.000  0.000  1.500  1.086  2.977 100000.  28484.   4800.  0.7778  1.4434 82.6937  3.000 0.00000 0.00000
  3.078  0.000  0.000  0.000  1.500  1.209  2.925 100000.  28215.   4497.  0.7777  1.4912 82.6578  3.000 0.00000 0.00000
  3.078  0.000  0.000  0.000  1.500  1.780  2.804 100000.  26904.   4069.  0.7771  1.5677 82.5660  3.000 0.03214 0.00702
  3.135  0.000  0.000  0.000  1.500  0.274  2.598 100000.  26222.    380.  0.7781  5.1299 81.9224  3.000 0.00000 0.00000
  3.135  0.000  0.000  0.000  1.500  0.540  2.850 100000.  26070.    797.  0.7781  3.5422 81.8647  3.000 0.00000 0.00000
  3.135  0.000  0.000  0.000  1.500  1.195  2.785 100000.  24837.   1697.  0.7777  2.4275 81.6776  3.000-0.37666 0.02181
