  2.700 -0.600  0.000  0.600  1.500  0.000  0.000 100000.   6895.      0.  0.0000  0.0000100.3860  3.000 0.00000 0.00000
  2.760 -0.600  0.000  0.600  1.500  0.000  0.000 100000.  11913.      0.  0.0000  0.0000 98.1172  3.000 0.00000 0.00000
  2.820 -0.600  0.000  0.600  1.500  1.092  2.331 100000.  17670.   3717.  0.7778  1.6402 95.6048  3.000 0.00000 0.00000
  2.880 -0.600  0.000  0.600  1.500  2.905  3.118 100000.  24104.  13796.  0.7752  0.8514 92.9827  3.000 0.00000 0.00000
  2.940 -0.600  0.000  0.600  1.500  6.066  3.015 100000.  43294.  28458.  0.7652  0.5928 86.7873  3.000 0.00000 0.00000
  3.000 -0.600  0.000  0.600  1.500  5.551  3.018 100000.  43180.  26099.  0.7673  0.6190 86.0611  3.000 0.00000 0.00000
  3.060 -0.600  0.000  0.600  1.500  4.965  3.027 100000.  41411.  23373.  0.7694  0.6541 85.6218  3.000 0.00000 0.00000
  3.120 -0.600  0.000  0.600  1.500  4.320  3.051 100000.  39493.  20402.  0.7715  0.7001 85.1218  3.000 0.00000 0.00000
  3.180 -0.600  0.000  0.600  1.500  3.659  3.083 100000.  37527.  17323.  0.7734  0.7598 84.6122  3.000 0.00000 0.00000
  3.240 -0.600  0.000  0.600  1.500  2.969  3.106 100000.  35531.  14103.  0.7750  0.8421 84.0904  3.000 0.00000 0.00000
  3.300 -0.600  0.000  0.600  1.500  2.278  3.140 100000.  33545.  10843.  0.7763  0.9603 83.5719  3.000 0.00000 0.00000
  2.700 -0.600  0.000  0.600  1.500 10.606  2.114 100000.   7075.    506.  0.7378  4.4455 97.8600  3.000 0.00000 0.00000
  2.760 -0.600  0.000  0.600  1.500  7.986  2.372 100000.  12094.   1167.  0.7555  2.9273 96.7393  3.000 0.00000 0.00000
  2.820 -0.600  0.000  0.600  1.500  3.533  2.492 100000.  17553.   3617.  0.7738  1.6628 95.1635  3.000 0.00000 0.00000
  2.880 -0.600  0.000  0.600  1.500  3.206  2.970 100000.  23605.  12859.  0.7745  0.8819 92.8493  3.000 0.00000 0.00000
  2.940 -0.600  0.000  0.600  1.500  5.871  3.048 100000.  40741.  26852.  0.7660  0.6103 87.2455  3.000 0.00000 0.00000
  3.000 -0.600  0.000  0.600  1.500  5.538  3.013 100000.  42732.  25615.  0.7673  0.6248 86.0823  3.000 0.00000 0.00000
  3.060 -0.600  0.000  0.600  1.500  4.983  3.017 100000.  41255.  23141.  0.7694  0.6574 85.5998  3.000 0.00000 0.00000
  3.120 -0.600  0.000  0.600  1.500  4.311  3.033 100000.  39318.  20048.  0.7716  0.7063 85.0702  3.000 0.00000 0.00000
  3.180 -0.600  0.000  0.600  1.500  3.670  3.061 100000.  37492.  17154.  0.7734  0.7635 84.5816  3.000 0.00000 0.00000
  3.240 -0.600  0.000  0.600  1.500  2.980  3.091 100000.  35532.  13980.  0.7750  0.8458 84.0486  3.000 0.00000 0.00000
  3.300 -0.600  0.000  0.600  1.500  2.271  3.136 100000.  33612.  10716.  0.7764  0.9660 83.5391  3.000 0.00000 0.00000
  3.000 -0.630  0.000  0.600  1.500  5.779  3.052 100000.  43171.  26861.  0.7664  0.6102 86.4604  3.000 0.00000 0.00000
  3.000 -0.642  0.000  0.600  1.500  5.747  3.091 100000.  40060.  26698.  0.7665  0.6120 87.3675  3.000 0.00000 0.00000
  3.000 -0.654  0.000  0.600  1.500  5.015  3.185 100000.  32443.  23508.  0.7693  0.6522 89.7337  3.000 0.00000 0.00000
  3.000 -0.660  0.000  0.600  1.500  4.553  3.222 100000.  30352.  21450.  0.7708  0.6828 90.4775  3.000 0.00000 0.00000
  3.000 -0.648  0.000  0.600  1.500  5.458  3.134 100000.  35594.  25391.  0.7676  0.6276 88.6474  3.000 0.00000 0.00000
  3.000 -0.636  0.000  0.600  1.500  5.806  3.058 100000.  42536.  26921.  0.7663  0.6095 86.6807  3.000 0.00000 0.00000
